#Timestamp,lat,lon,alt,dist (m),num sats,gps qual,speed (knts),course,date
173540.000,38.888745,-77.028107,3.4,0.000000,07,1,2.53,275.91,270915
173545.000,38.888745,-77.028187,4.7,6.924032,07,1,2.59,285.04,270915
173550.000,38.888758,-77.028258,5.4,6.377504,08,1,2.64,300.90,270915
173555.000,38.888770,-77.028327,6.3,6.054881,08,1,2.33,288.05,270915
173600.000,38.888767,-77.028368,6.9,3.625263,07,1,1.03,238.73,270915
173605.000,38.888748,-77.028380,7.6,2.274948,07,1,0.62,164.48,270915
173610.000,38.888728,-77.028387,9.7,2.297533,07,1,0.32,173.90,270915
173615.000,38.888713,-77.028397,12.7,1.879114,07,1,0.06,92.93,270915
173620.000,38.888717,-77.028370,15.5,2.337584,07,1,0.58,50.02,270915
173625.000,38.888733,-77.028353,14.0,2.348480,07,1,0.32,57.04,270915
173630.000,38.888748,-77.028332,14.3,2.509694,07,1,0.76,46.16,270915
173635.000,38.888762,-77.028303,14.4,2.865604,07,1,0.62,48.61,270915
173640.000,38.888775,-77.028287,14.6,2.068556,07,1,0.76,49.78,270915
173645.000,38.888793,-77.028270,14.9,2.497320,07,1,0.59,48.34,270915
173650.000,38.888805,-77.028262,15.0,1.484293,07,1,0.34,62.89,270915
173655.000,38.888815,-77.028265,15.3,1.148766,07,1,0.35,31.40,270915
173700.000,38.888810,-77.028273,15.4,0.910666,08,1,0.63,45.12,270915
173705.000,38.888805,-77.028278,15.0,0.704544,08,1,0.25,83.27,270915
173710.000,38.888798,-77.028283,14.4,0.858370,08,1,0.10,0.60,270915
173715.000,38.888795,-77.028285,14.3,0.397730,08,1,0.17,14.68,270915
173720.000,38.888795,-77.028285,13.5,0.000000,08,1,0.16,17.77,270915
173725.000,38.888798,-77.028283,13.4,0.397730,08,1,0.16,18.64,270915
173730.000,38.888802,-77.028282,13.3,0.397730,08,1,0.11,359.83,270915
173735.000,38.888803,-77.028282,13.2,0.185325,08,1,0.12,37.66,270915
173740.000,38.888807,-77.028280,12.8,0.397730,08,1,0.17,10.34,270915
173745.000,38.888810,-77.028280,12.5,0.370650,08,1,0.13,299.82,270915
173750.000,38.888812,-77.028283,11.8,0.342897,08,1,0.08,303.53,270915
173755.000,38.888812,-77.028285,11.4,0.144251,07,1,0.23,93.10,270915
173800.000,38.888812,-77.028278,11.0,0.577002,08,1,0.30,111.03,270915
173805.000,38.888810,-77.028270,10.8,0.744682,07,1,0.19,124.95,270915
173810.000,38.888807,-77.028265,10.6,0.569785,07,1,0.01,25.26,270915
173815.000,38.888807,-77.028265,10.4,0.000000,08,1,0.10,21.87,270915
173820.000,38.888808,-77.028265,10.3,0.185325,07,1,0.56,116.40,270915
173825.000,38.888803,-77.028250,10.3,1.412294,07,1,0.48,62.01,270915
173830.000,38.888808,-77.028237,10.2,1.280950,08,1,1.15,103.94,270915
173835.000,38.888800,-77.028240,9.9,0.970498,08,1,0.35,68.13,270915
173840.000,38.888808,-77.028238,9.3,0.937785,08,1,0.17,55.28,270915
173845.000,38.888825,-77.028243,9.0,1.903104,08,1,0.48,18.94,270915
173850.000,38.888843,-77.028228,8.8,2.416867,08,1,0.41,18.76,270915
173855.000,38.888853,-77.028225,8.7,1.148766,08,1,0.48,28.95,270915
173900.000,38.888863,-77.028217,8.7,1.325381,08,1,0.20,8.54,270915
173905.000,38.888868,-77.028217,8.6,0.555975,08,1,0.20,359.22,270915
173910.000,38.888872,-77.028217,8.4,0.370650,08,1,0.09,286.95,270915
173915.000,38.888872,-77.028220,8.1,0.288501,08,1,0.12,246.25,270915
173920.000,38.888870,-77.028223,7.9,0.342897,07,1,0.10,1.22,270915
173925.000,38.888873,-77.028225,7.7,0.397730,07,1,0.09,41.41,270915
173930.000,38.888873,-77.028223,7.5,0.144250,07,1,0.19,199.99,270915
173935.000,38.888868,-77.028225,7.2,0.574383,07,1,0.11,157.79,270915
173940.000,38.888865,-77.028225,6.9,0.370650,07,1,0.32,149.51,270915
173945.000,38.888858,-77.028220,6.7,0.858370,07,1,0.29,170.84,270915
173950.000,38.888852,-77.028218,6.5,0.755204,07,1,0.27,178.85,270915
173955.000,38.888845,-77.028220,6.4,0.755204,07,1,0.27,179.68,270915
174000.000,38.888838,-77.028220,6.2,0.741300,07,1,0.12,152.16,270915
174005.000,38.888835,-77.028218,6.0,0.397730,07,1,0.05,210.04,270915
174010.000,38.888833,-77.028220,5.8,0.234848,08,1,0.31,138.60,270915
174015.000,38.888828,-77.028215,5.7,0.704544,08,1,0.09,10.60,270915
174020.000,38.888830,-77.028213,5.6,0.234848,08,1,0.28,136.78,270915
174025.000,38.888825,-77.028208,5.5,0.704544,08,1,0.58,201.77,270915
174030.000,38.888812,-77.028215,5.4,1.590922,07,1,0.25,246.68,270915
174035.000,38.888810,-77.028223,5.3,0.744682,08,1,0.61,12.50,270915
174040.000,38.888805,-77.028245,4.9,1.955939,08,1,1.04,12.48,270915
174045.000,38.888783,-77.028282,4.3,3.984412,08,1,0.12,279.23,270915
174050.000,38.888773,-77.028300,4.1,1.937583,08,1,0.23,189.75,270915
174055.000,38.888760,-77.028313,4.0,1.878784,08,1,0.32,238.22,270915
174100.000,38.888757,-77.028323,3.7,0.941530,08,1,0.27,264.01,270915
174105.000,38.888757,-77.028332,3.8,0.721253,08,1,1.08,229.88,270915
174110.000,38.888745,-77.028345,2.6,1.736274,08,1,0.10,194.44,270915
174115.000,38.888752,-77.028352,1.8,0.939392,08,1,0.23,8.13,270915
174120.000,38.888753,-77.028353,1.0,0.234848,08,1,0.25,28.71,270915
174125.000,38.888747,-77.028350,0.7,0.795461,08,1,0.15,97.30,270915
174130.000,38.888747,-77.028345,0.6,0.432752,08,1,0.13,11.47,270915
174135.000,38.888750,-77.028343,0.5,0.397730,08,1,0.09,60.05,270915
174140.000,38.888750,-77.028342,0.5,0.144251,08,1,0.22,65.73,270915
174145.000,38.888753,-77.028335,0.5,0.685794,08,1,0.23,108.77,270915
174150.000,38.888750,-77.028328,0.6,0.685794,08,1,0.15,83.38,270915
174155.000,38.888752,-77.028325,0.6,0.342897,08,1,0.18,352.01,270915
174200.000,38.888755,-77.028325,0.7,0.370650,08,1,0.11,336.91,270915
174205.000,38.888757,-77.028327,0.7,0.234848,08,1,0.08,37.06,270915
174210.000,38.888758,-77.028325,0.8,0.234848,08,1,0.09,1.62,270915
174215.000,38.888760,-77.028325,0.8,0.185325,08,1,0.09,89.96,270915
174220.000,38.888760,-77.028323,0.8,0.144251,08,1,0.17,343.39,270915
174225.000,38.888765,-77.028325,0.7,0.574383,08,1,0.27,335.72,270915
174230.000,38.888770,-77.028328,0.7,0.626371,08,1,0.12,31.30,270915
174235.000,38.888773,-77.028327,0.5,0.397730,08,1,0.19,20.60,270915
174240.000,38.888777,-77.028323,0.4,0.469696,08,1,0.12,30.64,270915
174245.000,38.888780,-77.028322,0.3,0.397730,08,1,0.11,330.94,270915
174250.000,38.888782,-77.028323,0.1,0.234848,08,1,0.14,9.46,270915
174255.000,38.888785,-77.028323,0.0,0.370650,08,1,0.07,338.47,270915
174300.000,38.888787,-77.028325,-0.1,0.234848,08,1,0.20,6.66,270915
174305.000,38.888792,-77.028323,-0.2,0.574383,08,1,0.21,33.59,270915
174310.000,38.888795,-77.028320,-0.5,0.469696,08,1,0.18,36.69,270915
174315.000,38.888798,-77.028317,-0.7,0.469696,08,1,0.19,8.66,270915
174320.000,38.888803,-77.028317,-0.9,0.555975,08,1,0.29,348.12,270915
174325.000,38.888810,-77.028318,-1.3,0.755204,08,1,0.25,10.85,270915
174330.000,38.888815,-77.028317,-1.9,0.574383,08,1,0.38,130.89,270915
174335.000,38.888808,-77.028308,-2.3,1.034278,08,1,0.14,120.52,270915
174340.000,38.888807,-77.028305,-2.5,0.342897,08,1,0.23,107.05,270915
174345.000,38.888805,-77.028298,-2.7,0.606034,08,1,0.08,4.82,270915
174350.000,38.888807,-77.028298,-2.8,0.185325,08,1,0.07,215.98,270915
174355.000,38.888805,-77.028300,-2.8,0.234848,08,1,0.10,98.17,270915
174400.000,38.888805,-77.028297,-2.8,0.288501,08,1,0.11,156.66,270915
174405.000,38.888802,-77.028297,-2.8,0.370650,08,1,0.11,348.40,270915
174410.000,38.888805,-77.028297,-2.9,0.370650,08,1,0.30,103.42,270915
174415.000,38.888803,-77.028288,-3.1,0.744682,08,1,0.09,24.07,270915
174420.000,38.888805,-77.028288,-3.3,0.185325,08,1,0.09,31.78,270915
174425.000,38.888807,-77.028287,-3.6,0.234848,08,1,0.15,172.51,270915
174430.000,38.888803,-77.028287,-3.8,0.370650,08,1,0.22,154.32,270915
174435.000,38.888798,-77.028283,-3.9,0.626371,08,1,0.15,22.77,270915
174440.000,38.888802,-77.028282,-4.1,0.397730,08,1,0.22,227.55,270915
174445.000,38.888798,-77.028287,-4.3,0.569785,08,1,0.10,185.85,270915
174450.000,38.888797,-77.028288,-4.4,0.234848,08,1,0.19,40.72,270915
174455.000,38.888800,-77.028285,-4.5,0.469696,08,1,0.26,15.85,270915
174500.000,38.888805,-77.028282,-4.7,0.626371,08,1,0.09,166.36,270915
174505.000,38.888803,-77.028282,-4.9,0.185325,08,1,0.17,146.06,270915
174510.000,38.888798,-77.028278,-5.0,0.626371,08,1,0.16,199.27,270915
174515.000,38.888795,-77.028280,-5.1,0.397730,08,1,0.11,108.94,270915
174520.000,38.888795,-77.028278,-5.3,0.144251,08,1,0.08,5.82,270915
174525.000,38.888797,-77.028278,-5.5,0.185325,08,1,0.07,332.35,270915
174530.000,38.888797,-77.028280,-5.8,0.144251,08,1,0.07,293.15,270915
174535.000,38.888798,-77.028282,-6.2,0.234848,08,1,0.04,243.74,270915
174540.000,38.888797,-77.028283,-6.4,0.234848,08,1,0.13,101.70,270915
174545.000,38.888797,-77.028280,-6.5,0.288501,08,1,0.19,70.11,270915
174550.000,38.888798,-77.028275,-6.7,0.470765,08,1,0.08,36.71,270915
174555.000,38.888800,-77.028273,-7.0,0.234848,08,1,0.20,12.53,270915
174600.000,38.888805,-77.028272,-7.2,0.574383,08,1,0.11,355.69,270915
174605.000,38.888807,-77.028272,-7.7,0.185325,08,1,0.39,253.23,270915
174610.000,38.888805,-77.028283,-8.1,1.026620,08,1,0.34,251.13,270915
174615.000,38.888803,-77.028293,-8.6,0.885122,08,1,0.31,20.60,270915
174620.000,38.888810,-77.028290,-9.1,0.795461,08,1,0.20,54.14,270915
174625.000,38.888812,-77.028285,-9.6,0.470765,08,1,0.11,33.15,270915
174630.000,38.888813,-77.028283,-10.0,0.234848,08,1,0.34,160.08,270915
174635.000,38.888807,-77.028280,-10.3,0.795461,08,1,0.18,98.18,270915
174640.000,38.888807,-77.028275,-10.6,0.432752,08,1,0.41,51.84,270915
174645.000,38.888812,-77.028265,-10.9,1.028690,08,1,0.38,74.40,270915
174650.000,38.888815,-77.028253,-11.3,1.075632,08,1,0.05,32.07,270915
174655.000,38.888815,-77.028253,-11.7,0.000000,08,1,0.24,348.11,270915
174700.000,38.888822,-77.028255,-12.1,0.755204,08,1,0.15,42.20,270915
174705.000,38.888823,-77.028253,-12.9,0.234848,08,1,0.20,338.52,270915
174710.000,38.888828,-77.028257,-13.5,0.626371,08,1,0.23,325.24,270915
174715.000,38.888833,-77.028260,-14.1,0.626371,08,1,0.22,288.85,270915
174720.000,38.888835,-77.028268,-14.5,0.744681,08,1,0.33,251.52,270915
174725.000,38.888833,-77.028277,-14.8,0.744681,08,1,0.11,334.10,270915
174730.000,38.888835,-77.028278,-15.2,0.234848,08,1,0.13,19.21,270915
174735.000,38.888838,-77.028278,-15.6,0.370650,08,1,0.14,14.41,270915
174740.000,38.888842,-77.028277,-15.9,0.397730,08,1,0.23,44.15,270915
174745.000,38.888845,-77.028272,-16.6,0.569785,08,1,0.19,47.18,270915
174750.000,38.888848,-77.028268,-17.1,0.469696,08,1,0.20,62.18,270915
174755.000,38.888850,-77.028262,-17.6,0.606033,08,1,0.15,75.86,270915
